type,context,contains_logging
c,cqnn,0
c,cdmnndnqdnqednqdnmnnmnmnmnendnqinqq,0
d,cdmnn,0
d,cdmnndnq,0
d,cdmnndnqdnq,0
e,cdmnndnqdnqednq,0
d,cdmnndnqdnqednq,0
d,cdmnndnqdnqednqdnmnn,0
e,cdmnndnqdnqednqdnmnnmnmnmnendnqinq,0
d,cdmnndnqdnqednqdnmnnmnmnmnendnq,0
i,cdmnndnqdnqednqdnmnnmnmnmnendnqinq,0
c,cnn,0
c,cdnqedqmndnninnn,0
d,cdnq,0
e,cdnqedq,0
d,cdnqedq,0
d,cdnqedqmndnn,0
i,cdnqedqmndnninnn,0
c,cx,0
c,cx,0
c,cmgnnnnkmndnnn,0
g,cmgnnnn,0
k,cmgnnnnkmn,0
d,cmgnnnnkmndnnn,0
c,cbcdnnnnq,0
b,cbcdnnnn,0
c,cdnnnn,0
d,cdnnn,0
c,cdnnnn,0
d,cdnnn,0
c,cmngegennnknln,0
g,cmngegennnkn,0
e,cmngegennnkn,0
g,cmngegennn,0
e,cmngegennn,0
k,cmngegennnkn,0
l,cmngegennnknln,0
c,cdnnnnn,0
d,cdn,0
c,cwnn,0
c,cvnn,0
c,cwmbcxmmnn,0
b,cwmbcx,0
c,cx,0
c,cx,0
c,cwmnn,0
c,cwmnn,0
c,cwwwmmnmnn,0
c,cmwwn,0
c,cvwnnncmqnnn,0
c,cmqn,0
c,cmqn,0
c,cmmwwnnnn,0
c,cvn,0
c,cvvvmnmnnnn,0
c,cwwwmnnnmnnnn,0
c,cwmnn,0
c,cmwmnmbcqcqmnn,0
b,cmwmnmbcqcq,0
c,cq,0
c,cq,0
c,cq,0
c,cq,0
c,cwnn,0
c,cvnnnwmnnnn,0
c,cvmnmnnnn,0
c,cwmmnn,0
c,cwn,0
c,cwgvkvfdnmndndndntmmmdmnmnjmmmmndmnjmdmmdnmnmnmnmnnmnmnmmnnmmmnmndnddnmn,0
g,cwgv,0
k,cwgvkv,0
f,cwgvkvfdnmndndndntmmmdmnmnjmmmmndmnjmdmmdnmnmnmnmnnmnmnmmnnmmmnmndnddnmn,0
d,cwgvkvfdn,0
d,cwgvkvfdnmndn,0
d,cwgvkvfdnmndndndnt,0
d,cwgvkvfdnmndndndn,0
d,cwgvkvfdnmndndndntmmmdmnmn,0
j,cwgvkvfdnmndndndntmmmdmnmnjmm,0
d,cwgvkvfdnmndndndntmmmdmnmnjmmmmndmn,0
j,cwgvkvfdnmndndndntmmmdmnmnjmmmmndmnjm,0
d,cwgvkvfdnmndndndntmmmdmnmnjmmmmndmnjmdm,0
d,cwgvkvfdnmndndndntmmmdmnmnjmmmmndmnjmdmmdn,0
d,cwgvkvfdnmndndndntmmmdmnmnjmmmmndmnjmdmmdnmnmnmnmnnmnmnmmnnmmmnmndn,0
d,cwgvkvfdnmndndndntmmmdmnmnjmmmmndmnjmdmmdnmnmnmnmnnmnmnmmnnmmmnmndnddnm,0
d,cwgvkvfdnmndndndntmmmdmnmnjmmmmndmnjmdmmdnmnmnmnmnnmnmnmmnnmmmnmndnddn,0
c,cdwnivnvdmnjmdwmnnn,0
d,cdwn,0
i,cdwnivn,0
d,cdwnivnvdmn,0
j,cdwnivnvdmnjm,0
d,cdwnivnvdmnjmdwm,0
c,cmgmnkmmnnnmnnnnnnmnnn,0
g,cmgmn,0
k,cmgmnkm,0
c,cmnnnnnnnnn,0
c,cnnn,0
c,cnnn,0
c,cnnn,0
c,cnn,0
c,cmnnmhnn,0
h,cmnnmhnn,0
c,cmnnmhnnn,0
h,cmnnmhnnn,0
c,cmnnmhndnnn,0
h,cmnnmhndnnn,0
d,cmnnmhndnn,0
c,cmdnnnmjmnmhnnq,0
d,cmdnnnm,0
j,cmdnnnmjmnmhnn,0
h,cmdnnnmjmnmhnn,0
c,cmmndnhnnnjhnnn,0
d,cmmndnhnnn,0
h,cmmndnhnnn,0
j,cmmndnhnnnjhnnn,0
h,cmmndnhnnnjhnnn,0
c,cmnnmmhnnnnnn,0
h,cmnnmmhnn,0
c,cmnnmmndnnmndnjnnghnnnnlndD,0
d,cmnnmmndnn,0
d,cmnnmmndnnmndn,0
j,cmnnmmndnnmndnjn,0
g,cmnnmmndnnmndnjnnghnnnn,0
h,cmnnmmndnnmndnjnnghnnnn,0
l,cmnnmmndnnmndnjnnghnnnnln,0
d,cmnnmmndnnmndnjnnghnnnnlndD,0
c,cmnnmmndnnnnghnnnnln,0
d,cmnnmmndnn,0
g,cmnnmmndnnnnghnnnn,0
h,cmnnmmndnnnnghnnnn,0
l,cmnnmmndnnnnghnnnnln,0
c,cmnnmhnnhnnn,0
h,cmnnmhnn,0
h,cmnnmhnnhnnn,0
c,cmnnmhnnnn,0
h,cmnnmhnnnn,0
c,cgmfdmmnmndsjpdslndn,0
